Drug Name,Sheet Name,Match Type/Score,Matched Product
GLADE SENSE & SPRAY AUTO SPRAY COMPLETE HOLDER 18ML - ARCTIC APPLE PIE,UK warehouse ,69.23076923,Nasonex Spray
BEECHAMS COLD & FLU SACHET 5'S,Warehouse 3,69.23076923,Urisol sachets
ROGOGENT EYE /EAR DROP 0.3%,Pzifer,69.3877551,Ciprolex Eye/Ear Drops 5ml
ORAL B ESSENTIAL DENTAL FLOSS,Warehouse 3,69.56521739,Zental susp 
EUTHYMOL ORIGINAL T/PASTE,UK warehouse ,69.76744186,Dettol Original Wet Wipes 50's
SYRINGE & NEEDLE 5ML,Warehouse 3,70,Insulin Pen Needles 5mm 31g 100s
POLAR ABOVE THIGH ELASTIC STOCKINGS LARGE,Tena Warehouse ,70,Surgical Elastic Stockings (0034A)
PO0016 POLAR CLOSE ANKLE SUPPORT MEDIUM,Tena Warehouse ,70,Ankle Support (0030)
OXYTOCIN INJ 10 IU/ML (WUHAN-CHINA) 1'S,UK warehouse ,70,SINUTAB 15'S
HAYFEVER & ALLERGY RELIEF TABS (CETIRIZINE) 7'S,Warehouse 2 Syrup&Tab,70,Efpac Tabs
ARTEMET KID DISPERSIBLE TAB 60/360MG 6'S,Pzifer,70,Pilex Tabs
ANADIN ORIG ASPIRIN & CAFFEINE TABLET 16'S,Warehouse 3,70,zentel tab
ALBENDAZOLE TABS (ENTRANCE),Pzifer,70,Pilex Tabs
PO0010-POLAR CERVICAL COLLAR(HARD WITH CHIN) MEDIUM,Tena Warehouse ,70.37037037,Hard Collar with Chin (074)
PO0010-POLAR CERVICAL COLLAR(HARD WITH CHIN) LARGE,Tena Warehouse ,70.37037037,Hard Collar with Chin (074)
VITADOX VITAMIN C EFF 1G 20'S,Pzifer,70.58823529,Vitane Drop
VITADOX OMEGA-3 GUMMIES 30'S,Pzifer,70.58823529,Vitane Drop
PHLORO-G TAB 80MG,UK warehouse ,70.58823529,Acyclovir Tabs 800mg 35's
ORGANIC HONEY (GLP)- 500ML,Warehouse 4,70.58823529,Honey 500ml
ORGANIC HONEY (GLP) 250ML,Warehouse 2 Syrup&Tab,70.58823529,NCP 200ml
EXFORGE 5MG/160MG,Pzifer,70.58823529,Exforge Tabs(5/160mg)
GAMOK TAB 625MG (AMOX+CLAV),Pzifer,71.42857143,Amoksiklav Tabs 625mg 14'S
POLAR ABOVE KNEE ELASTIC STOCKING LARGE,Tena Warehouse ,71.79487179,Varicose Stocking Long
PAROVITE I&II INJECTION 5ML,Nacortic Warehouse,71.79487179,Ephedrine Injection 50mg
"RS30090 ROUSHUN VIT E 70,000IU OIL 130ML",Warehouse 4,72,Bio Oil 200ml
DRL - 1511 DR RASHEL VIT C NIGHT CREAM,UK warehouse ,72,DR RASHEL VIT C EYE SERUM
DANNEX DITHRANOL 0.1 % 40G,Pzifer,72.22222222,Dithranol Oint 40g
SYRINGE & NEEDLE 10ML 100'S,Tena Warehouse ,72.34042553,Insulin Syringe 31g 1ml 100s
LEXSPORIN POWDER 20G,Pzifer,72.72727273,Drez Powder
ICHTHAMMOL OINT 10% BP 40G,UK warehouse ,72.72727273,Anusol Oint
GUCEFOR INFUSION 750MG (CEFUROXIME),Pzifer,72.72727273,Uperio 50mg
COCOON ADULT DIAP MEDIUM 10'S,Tena Warehouse ,72.72727273,Cocoon pant medium
BOX OF GLOVES (POWDERED) MEDIUM -ECOMAX 100'S,Pzifer,72.72727273,Drez Powder
AZIROCIN SUSPENSION (AZITHROMYCIN),Pzifer,72.72727273,Azomax 500mg (Azithromycin)
SENSODYNE T/P DEEP CLEAN 100G,UK warehouse ,73.17073171,Sensodyne T/P Herbal 100g
PIRITON TABS 4MG UK(ALLERGY TABLETS) 30'S,UK warehouse ,73.17073171,Piriton Tabs (Orig) 30's
RAID ANT & COCKROACH KILLER SPRAY 300ML (RED),Warehouse 4,73.33333333,Lerzin Syr 30ml
PERMANET MOSQUITOE NET (KING CIRCULAR),Warehouse 2 Syrup&Tab,73.33333333,Permanet Mos Net (Circular King)
DOVE BAR SOAP 90G  - SENSITIVE SKIN,UK warehouse ,73.33333333,Nivea Soap 100g
ARTESUN INJ 60MG,Warehouse 3,73.33333333,Artesunate injection 120mg / Argesun 
ARTESUN INJ 30MG,Warehouse 3,73.33333333,Artesunate injection 120mg / Argesun 
0061 POLAR ARM SLING 90CM,Tena Warehouse ,73.33333333,Arm Sling (0061)
0060 POLAR ARM SLING 65CM,Tena Warehouse ,73.33333333,Arm Sling (0061)
LUFART FORTE TABS 40/240MG 12'S,Warehouse 4,73.68421053,Lufart  Susp
HARPIC POWER PLUS ORIGINAL DETERGENT 725ML,UK warehouse ,73.68421053,Harpic 750ml
DUREX CONDOMS- EXTRA THIN (STRAWBERRY) 3S,Pzifer,73.68421053,Durex Elite Condoms 3's
SECZOL DS (SECNIDAZOLE) TABS 1G 2'S,UK warehouse ,73.91304348,Amiodarone Tabs 100mg 28's
VITADOX VITAMIN C + ZINC EFF 1G 20'S,GSK Warehouse,74.07407407,Vitadox Vit c+Vit D +Zinc 20s
GALVUS 50 28'S,UK warehouse ,74.07407407,Amitriptyline Tabs 50mg 28's
DUOTRAV (TRAVOPROST/TIMOLOL) DROP 2.5ML,UK warehouse ,74.07407407,Abidec Drop 25ml
O.R.S. ORANGE (DANNEX),Warehouse 2 Syrup&Tab,74.28571429,O.R.S. Dannex Plain 25's
ARTHROTEC TABS 75MG,Pzifer,74.28571429,Dilatrend Tabs 25mg
AMOXYCILLIN (MAXMOX) CAPS 500MG  (ESKAY),Warehouse 2 Syrup&Tab,74.28571429,Amoxycillin 250mg Caps 50x10  (ESK)
PREGNACARE PLUS OMEGA-3 56'S,Pzifer,74.41860465,Pregnacare Plus Caps 28 +28
WHITFIELD'S OINTMENT BP 40G,Pzifer,75,Joy Ointment
VITAMIN K1 AQUEOUS INJ 1MG,Pzifer,75,Vitajoint
VITAMIN C + ZINC EFFERVESCENT 1G,Pzifer,75,Vitajoint
RIVAJ ORIGINAL DENTAL FLOSS 50M,Warehouse 3,75,Zental susp 
RIVAJ CHARCOAL MINT DENTAL FLOSS 50M,Warehouse 3,75,Zental susp 
PARAMOL SUPP 500MG,Warehouse 2 Syrup&Tab,75,Permoxyl Susp
PARAMOL SUPP 1000MG,Warehouse 2 Syrup&Tab,75,Permoxyl Susp
LOZATY LOZ. PROPOLIS,Warehouse 1,75,Lozaty lozenges Propolis sugar free
GOFEX 400MG CAP 6X10'S,Pzifer,75,Gofex Caps
FORXIGA TAB 10MG,GSK Warehouse,75,Rivaroxaban tabs 10mg (Rivatas)
ENTRADOL CAPS 50MG (TRAMADOL),Warehouse 2 Syrup&Tab,75,Entradol 50mg Caps 100's
E45 ITCH RELIEF LOTION PUMP 500G,Warehouse 4,75,Eusol Lotion
B. F DENTAL FLOSS -MINT 100M,Warehouse 3,75,Zental susp 
ATROPINE SULFATE INJ 1'S,UK warehouse ,75,Kenalog Inj 1's
ORELOX SUSP 40MG/5ML 50ML,Warehouse 3,75.55555556,Zinnat susp 125mg/5ml 50ml
GENTAMYCIN INJ 80MG/2ML 1'S,UK warehouse ,75.55555556,Quinine Inj 300mg/ml 100's
0020A-POLAR SHOULDER SUPPORT LARGE,Tena Warehouse ,75.55555556,Shoulder Support (0056)
IBUPROFEN 100MG/5ML SUSP. 150ML UK,Warehouse 4,75.67567568,ABC Ibuprofen Syr 100ml
DUREX CONDOMS EXTRA SAFE 3'S,Pzifer,75.67567568,Durex Elite Condoms 3's
DUREX CONDOMS EXTRA -INTENSE CHOCOLATE 3'S,Pzifer,75.67567568,Durex Elite Condoms 3's
DUREX CONDOMS - FETHERLITE 3'S,Pzifer,75.67567568,Durex Elite Condoms 3's
DUREX CONDOMS - EXTRA THIN 3'S (BUBBLEGUM),Pzifer,75.67567568,Durex Elite Condoms 3's
CITRO-C LOZENGES 10'S,UK warehouse ,75.67567568,Strepsils Honey&Lemon Lozenges 16'S
VOLTFAST SATCHET 50MG 30'S,Pzifer,75.86206897,Voltfast 50mg 30's
THIAMINE (VIT. B1) TABS 100MG 100'S 100'S,Warehouse 2 Syrup&Tab,76.19047619,Zinc Tabs 10mg 10x100
CO-DIOVAN TABS 80/12.5MG,Pzifer,76.19047619,Dilatrend Tabs 12.5mg
LISINOPRIL / HYDROCHLOROTHIAZIDE TAB 10MG/12.5MG 28'S,UK warehouse ,76.36363636,Co-Tenidone Tabs 50/12.5mg 28's
SAMPCIPIN (MUPIROCIN) OINTMENT 2% 30G,Pzifer,76.47058824,Drez Ointment 30gm
O.R.S. PLAIN (DANNEX),Warehouse 2 Syrup&Tab,76.47058824,O.R.S. Dannex Plain 25's
LYRICA CAPS 25MG 28'S,Pzifer,76.47058824,Lyrica 25mg Caps 28's
IRISH SPRING B10 MOISTURE BLAST 591ML,Warehouse 4,76.47058824,Irish Spring Soap 3's
IRISH SPRING B10 ALOE MIST 591 ML,Warehouse 4,76.47058824,Irish Spring Soap 3's
CYCLOGEST OVULES 200MG 15'S,UK warehouse ,76.47058824,Cyclogest 400mg 15's
ARTESUN INJ 120MG,Warehouse 3,76.47058824,Hydrocortisone Inj 100mg
ACCU-CHEK ACTIVE TEST STRIPS 50'S,GSK Warehouse,76.47058824,Plaster strips 100's
V-FIRM VAGINAL CRM 30G,UK warehouse ,76.92307692,Savlon Cream 30g
TRADITIONAL COAL TAR SOAP,Warehouse 4,76.92307692,Joy Soap
PROPOFOL INJ. 1%,Warehouse 3,76.92307692,"Propofol 10mg/ml, 20ml"
LOZATY LOZ. COLA,Warehouse 1,76.92307692,Lozaty lozenges Cola
GIVING SET (INF),Tena Warehouse ,76.92307692,Infusion Giving set
GAVISCON PEPPERMINT TABS 24'S,Pzifer,76.92307692,Kin Tabs 90's
AE0034B -ANTI EMBOLISM STOCKING ABOVE KNEE XXL (TED STOCKINGS),Tena Warehouse ,76.92307692,Ted stockings (above knee)
AE0034B -ANTI EMBOLISM STOCKING ABOVE KNEE S (TED STOCKINGS),Tena Warehouse ,76.92307692,Ted stockings (above knee)
AE0034B -ANTI EMBOLISM STOCKING ABOVE KNEE M  (TED STOCKINGS),Tena Warehouse ,76.92307692,Ted stockings (above knee)
LOZATY LOZ. PEPPERMINT,Warehouse 1,77.27272727,Lozaty lozenges Peppermint
GYNO-MYCOLEX PESS 400MG 3'S,Pzifer,77.27272727,Gynomycolex 400mg Pess 3's
OPTREX BRIGHTENING EYE DROP,Pzifer,77.41935484,Epifenac Eye Drop
FLIXOTIDE INHALER 125MG,Pzifer,77.41935484,Jet Inhaler 12's
BACLOFEN 5MG/5ML ORAL SUSP 300ML,Warehouse 4,77.41935484,Galfer Syrup 300ml
AMOXICILLIN SUSP 125/5ML 100ML(LETAP),Warehouse 2 Syrup&Tab,77.41935484,Amoxycillin Susp.100ml 125/5ml (Luex)
XARELTO TABS 15MG 14'S,Warehouse 2 Syrup&Tab,77.77777778,Comit  Tabs 50mg 4's
RINGERS-LACTATE INFUSION BOTTLE 500ML,Warehouse 4,77.77777778,Honey 500ml
POLAR WRIST SUPPORT XL,Tena Warehouse ,77.77777778,Wrist Support (0042)
PO0016 POLAR CLOSE ANKLE SUPPORT XL,Tena Warehouse ,77.77777778,Ankle Support (0030)
PARAMOL SUPP 250MG,UK warehouse ,77.77777778,Paracetamol Syrup 250mg/5ml Uk
LA BELLE NATURAL COCOA POWDER,Pzifer,77.77777778,Drez Powder
IRISH SPRING BATH 591ML -ORIGINAL CLEAN,Warehouse 4,77.77777778,Irish Spring Soap 3's
COLGATE T/P TOTAL VITAMIN C 75ML (100G),Warehouse 2 Syrup&Tab,77.77777778,Colgate TP Total Clean Mint 75ml (95g)
COARTEM TABS DISPERSIBLE 20/120MG 6'S,Warehouse 3,77.77777778,D-Artepp Dispersible 20/160
COARTEM TABS DISPERSIBLE 20/120MG 12'S,Warehouse 3,77.77777778,D-Artepp Dispersible 20/160
AVARIN CAPS,Pzifer,77.77777778,Adutwumwaa Caps
SENSODYNE T/P100ML - ORIGINAL,UK warehouse ,78.04878049,Sensodyne T/P Herbal 100g
PIROXICAM CAPS 20MG (OXAFEN) 10'S,Warehouse 2 Syrup&Tab,78.04878049,Piroxicam Caps ECL 10x10
LETAVIN TABS (GRISEOFULVIN) 125MG 50X10'S,Warehouse 2 Syrup&Tab,78.04878049,Letavin Tabs (Grisevin-Letap) 500mg 100's
TINATETT VENECARE 750ML,UK warehouse ,78.26086957,Parazone 750ml
COQ10 50 CAPSULES,Warehouse 3,78.26086957,Ziliv Capsules
COARTEM TABS 20/120MG 18'S,UK warehouse ,78.26086957,Sodium Valprate Tabs 200mg 100's
TELTAS (TELMISARTAN) TABS 40MG,GSK Warehouse,78.43137255,Telmisartan tab 40mg (Teltas)
SYMBICORT INHALER 160/4.5UG 120 DOSES,Pzifer,78.43137255,Symbicort 160/4.5mcg 120 Doses
TINATETT MALAKARE MIXTURE 500ML,Warehouse 2 Syrup&Tab,78.57142857,Taabea Mixture
STOMOCAINE 250ML SUSPENSION,Warehouse 4,78.57142857,Zudrex Suspension
DUREX PLAY 2IN1 MASSAGE OIL 200ML - STIMULATING,Warehouse 4,78.57142857,Amen Oil 250ml
DUREX PLAY 2IN1 MASSAGE OIL 200ML - SENSUALE,Warehouse 4,78.57142857,Amen Oil 250ml
DANNEX SULPHUR OINTMENT 10% 40G,Pzifer,78.57142857,Lynux Ointment
ADOM KOO MIXTURE 330ML,Pzifer,78.57142857,Adom Kooko Oint
PO0012-POLAR ABOVE KNEE SURGICAL ELASTIC STOCKING MEDIUM,Tena Warehouse ,78.78787879,Surgical Elastic Stockings (0034A)
DUREX PLAY 50ML - STRAWBERRY,UK warehouse ,78.78787879,Complan Strawberry
DIPHEX COUGH SYR JNR,Warehouse 4,78.78787879,Zedex Cough Syrup
A'MRIJ CHARCOAL TOOTHPASTE,UK warehouse ,78.78787879,Euthymol Toothpaste
XYLO ACINO NASAL SPRAY 0.05% CHILD,Pzifer,78.94736842,Otrivin Nasal Spray
TETMOSOL BABY SOAP 75G,Warehouse 4,78.94736842,Cussons Baby Soap 70g
MIDAZOLAM INJ. 15MG/3ML,UK warehouse ,78.94736842,Midazolam 5mg Inj 10's
KLARADONE ANTISEPTIC SOLUTION 100ML(POVIDONE IODINE),Warehouse 4,78.94736842,Drez Solution 100ml
KAMAGRA TABS 100MG 4'S,Pzifer,78.94736842,Fasigyn Tabs 500mg 4'S
HEPTOLIFE SYRUP 50ML,Warehouse 4,78.94736842,Haematovite Syrup 150ml
DANNEX ZINC OXIDE 15% 40G,Pzifer,78.94736842,Zinc Oxide Oint 40mg
BELL'S CASTOR OIL 70ML,Warehouse 4,78.94736842,Castor  Oil 70ml (Bells)
ARTEMET ADULT TAB 80/480MG 6'S,Pzifer,78.94736842,Gen-M Tabs 80/480 6's
G-CEFTRIA INJECTION 1G,Warehouse 3,79.06976744,Ceftriaxone injection(G-Ceftria 1g )
CORSODYL M/W 500ML FRESH MINT,UK warehouse ,79.06976744,Corsodyl Mouth Wash 500ml
CORSODYL M/W 500ML COOL MINT,UK warehouse ,79.06976744,Corsodyl Mouth Wash 500ml
CORSODYL M/W 300ML ALCOHOL-FREE MINT,UK warehouse ,79.06976744,Corsodyl Mouth Wash 300ml
ALUDROX TABS (M&G) 10'S,Warehouse 2 Syrup&Tab,79.06976744,Aludrox Tabs 50x10's (M&G)
TEGRETOL CR TAB 400MG 30'S,Pzifer,79.16666667,Tegretol Tabs 200mg 50's
POLYGYNAX VAG. PESS 12'S,Pzifer,79.16666667,Polygynax Pessaries 12's
STREPSILS LOZENGES HONEY & LEMON,UK warehouse ,79.24528302,Strepsils Honey&Lemon Lozenges 16'S
RICOVIR 300MG TABS (TENOFOVIR),Pzifer,79.31034483,Ricovir Tabs 300mg(Tenofovir)
ZOFLORA DISINFECTANT 120ML -LINEN FRESH,UK warehouse ,80,Zoflora 56ml
ZOFLORA DISINFECTANT 120ML - MIDNIGHT BLOOMS,UK warehouse ,80,Zoflora 56ml
ZOFLORA DISINFECTANT 120ML - CYPRESS & SEA SAGE,UK warehouse ,80,Zoflora 56ml
WELLKID MULTIVITAMIN SYRUP 4-12YRS 150ML,Warehouse 2 Syrup&Tab,80,Ozin Syrup
WELLBABY VIT D DROPS,Pzifer,80,Mim Drops
VALUPAK VIT E CAPS 400IU 30'S,Pzifer,80,Valupak Vit. E 400IU 30's
ULTRA VIT D3 1000IU TABS 96'S,Pzifer,80,Kin Tabs 90's
TRAMADOL INJECTION 100MG/2ML  1'S,Nacortic Warehouse,80,Tramadol Inj. 50mg
THIAMINE (VIT B1) TABS 50MG 100'S,UK warehouse ,80,Thiamine Tabs 50mg 100's
STAMLO TABS 5MG,Warehouse 2 Syrup&Tab,80,Stamlo 5mg Tabs 20'S
SPIRIT WITH BORIC ACID EAR DROPS,Pzifer,80,Mim Drops
SLIM SMART CAPS 60'S,Warehouse 2 Syrup&Tab,80,Man-Up Caps 60's
SEPTRIN SUSP ORIG PAED 100ML,Warehouse 4,80,NCP 100ml
S/SEAS C.L.O CAPS 120'S,Pzifer,80,S/seas C.L.O 30'S (ONE A DAY) YELLOW
ROGOPHEN EYE DROP 5%,UK warehouse ,80,Optrex Eye Drop
QUININE TABS 300MG,UK warehouse ,80,Colchicine Tabs 500mcg
PREMARIN CREAM (ESTROGEN) 14G,UK warehouse ,80,Permethrin Cream
PREGNACARE LIQUID 200ML,Warehouse 2 Syrup&Tab,80,NCP 200ml
PRAZIQUANTEL TABS 600MG,Warehouse 3,80,zentel tab
POLAR WRIST SUPPORT S,Tena Warehouse ,80,Wrist Support (0042)
POLAR WRIST SUPPORT L,Tena Warehouse ,80,Wrist Support (0042)
PO006-POLAR ANKLE BRACE MEDIUM,Tena Warehouse ,80,Knee Brace
PHLEBODIA TABS 600MG 15'S,Pzifer,80,Phlebodia 600mg
ORELOX INFANT SUSP 40MG/5ML 100ML,Warehouse 4,80,NCP 100ml
MUCOLEX JNR SYRUP,Warehouse 2 Syrup&Tab,80,Malin Jnr Syrup
MAXMOX(AMOXYCILLIN) SUSP 100ML-(ESKAY),Warehouse 4,80,Flucloxacillin Susp 100ml Eskay
LG GLIZONE 30MG 30'S,Pzifer,80,Glizone 30mg Tab 30's
L MONTUS ADULT TABS,Warehouse 2 Syrup&Tab,80,L Montus Tablets
GUCEFOR TABS 500MG (CEFUROXIME),Warehouse 3,80,Gucefor 500mg Tabs
FOLIC ACID (FOLAK) 200ML,Warehouse 2 Syrup&Tab,80,NCP 200ml
FLUREST TABS 10'S,Warehouse 2 Syrup&Tab,80,Res Q Tabs
DIAZEPAM INJ 10MG/2ML 1'S,Nacortic Warehouse,80,Diazepam injection
DALACIN C INJ. 300MG/ML 2ML,Warehouse 4,80,Dalacin C Syrup
CORORANGE DROPS 15ML,Warehouse 2 Syrup&Tab,80,Cororange  Caps
COCOON ADULT DIAPER LARGE 10'S,Tena Warehouse ,80,Confy Adult Diapers 20's Large
CO-DIOVAN TAB 160/12.5MG,Pzifer,80,Co-Diovan 160/12.5mg
BONJELA KIDS GEL 15G,UK warehouse ,80,Bonjela Kids Teething Gel
BISOPROLOL TABS 10MG 28'S 28'S,UK warehouse ,80,Bisoprolol 10mg Tabs 28's
BELL'S CHILDREN VITAMIN C SYRUP 6MONTHS,Warehouse 2 Syrup&Tab,80,Ozin Syrup
ASNAC 100MG,Warehouse 2 Syrup&Tab,80,Salo C Tabs 100mg
ARTEMET SUSP 20/120MG 60ML,Warehouse 4,80,Fumet Susp
APC TABS 50X4'S,Warehouse 2 Syrup&Tab,80,APC 50x4's Tabs
ALLERGY & HAYFEVER RELIEF (LORATIDINE) TABS 14'S,UK warehouse ,80,Loratidine Tab 10mg 30's
ACLOVIR (ACICLOVIR) 5% CREAM 5G,UK warehouse ,80,E45 Cream 350g
POLAR SHORT SURGICAL ELASTIC STOCKINGS MEDIUM,Tena Warehouse ,80.59701493,Surgical Elastic Stockings (0034A)
COCOON ADULT DIAPERS XL 10'S,Tena Warehouse ,80.76923077,Confy Adult Diapers 20's Large
AMOXICILLIN SUSP 125MG/5ML 100ML (LUEX),Warehouse 3,80.76923077,Zinnat susp 125mg/5ml 50ml
VIT BCO STRONG TAB 28'S UK,Pzifer,80.85106383,Bco Strong Tabs 30's KRKA
NOVAFEN TABS 400 ( BRUFEN)50X10'S,Warehouse 2 Syrup&Tab,80.85106383,Novafen 400 ( Brufen)50x10
VALUPAK FOLIC ACID TABS 400MCG 90'S,Warehouse 2 Syrup&Tab,80.95238095,Folic Acid Tabs (ECL)
VALUPAK FOLIC ACID TABS 400MCG 30'S,Warehouse 2 Syrup&Tab,80.95238095,Folic Acid Tabs (ECL)
UPERIO TABS 50MG 28'S 28'S,Pzifer,80.95238095,Zestril Tabs 5mg 28's
RIVATAS TAB 15MG 30'S,Pzifer,80.95238095,Tritace Tabs 5mg  30'S
NOOTROPIL TABS 800MG 90'S,Pzifer,80.95238095,Epilim Tabs 200mg 100's
ENAMYCIN SUSP 125MG/5ML ECL,Warehouse 4,80.95238095,Enacef Susp 125mg/5ml
CIPROLEX-TZ TABS 14'S,Warehouse 2 Syrup&Tab,80.95238095,Ciprolex TZ Tablets 14's
ATENOLOL TABS 25MG UK,UK warehouse ,80.95238095,Propranolol Tabs 40mg UK 28'S
RIVATAS TAB 20MG 30'S,Pzifer,81.08108108,Lipitor Tabs 20mg 30'S
GLICLAZIDE TAB 80MG 28'S,Pzifer,81.08108108,Diovan Tabs 80mg 28's
ZIFAM PROBIO SACHET 282.5MG 10'S,Warehouse 3,81.25,Zifam Probio powder
SAMOCID SOLUTION 8ML,Warehouse 4,81.25,Drez Solution 30ml
ROOTER LIFE TONIC 750ML,Warehouse 2 Syrup&Tab,81.25,Rooter Life Mixture
PETHIDINE INJ 100MG/2ML,Nacortic Warehouse,81.25,Pethidine injection
OSTEOCARE PLUS GLUCOSAMINE & CHONDROITIN 60'S,Pzifer,81.25,Osteocare Caps UK
LOZATY LOZ. ORANGE,Warehouse 1,81.25,Lozaty lozenges Cola
LOZATY LOZ. GINGER,Warehouse 1,81.25,Lozaty lozenges Cola
GLUCOLIFE C 400G(ECL),Warehouse 2 Syrup&Tab,81.25,Gluco Naf C 400g
FLAGYL SUSP 125MG/5ML 100ML,Warehouse 2 Syrup&Tab,81.25,Flagyl-S Susp 100ml
DEXTROSE NORMAL SALINE INFUSION (DNS) 500ML,Warehouse 4,81.25,Normal Saline Infusion (Bottles)
D-ARTEPP TAB 80/640MG 6'S,Warehouse 3,81.25,D-Artepp  80/640
D-ARTEPP TAB 60/480MG 6'S,Warehouse 3,81.25,D-Artepp  60/480
